yr,mag,inj,fat
1953,1,8,0
1953,1,1,0
1953,1,2,0
1953,1,1,0
1953,2,0,0
1953,3,495,8
1953,3,195,6
1953,2,1,0
1953,2,2,0
1953,3,300,2
1953,2,4,1
1953,3,0,0
1953,2,1,0
1953,1,0,0
1953,2,14,1
1953,2,0,0
1953,2,0,0
1953,1,0,0
1953,2,0,0
1953,0,0,0
1953,1,0,0
1953,0,0,0
1953,3,3,0
1953,1,0,0
1953,3,5,1
1953,4,15,2
1953,2,0,0
1953,2,3,0
1953,1,5,0
1953,4,300,18
1953,2,3,1
1953,3,2,1
1953,2,0,0
1953,0,0,0
1953,1,0,0
1953,2,2,0
1953,4,12,7
1953,1,0,0
1953,4,3,2
1953,2,0,0
1953,4,8,4
1953,1,0,0
1953,2,0,0
1953,2,1,0
1953,2,0,0
1953,1,0,0
1953,2,2,0
1953,1,2,0
1953,0,0,0
1953,1,0,0
1953,1,0,0
1953,1,0,0
1953,3,0,0
1953,3,82,5
1953,2,0,0
1953,1,0,0
1953,1,0,0
1953,1,0,0
1953,1,0,0
1953,1,0,0
1953,1,0,0
1953,2,0,0
1953,2,0,0
1953,2,0,0
1953,3,0,0
1953,1,0,0
1953,1,0,0
1953,1,0,0
1953,2,0,0
1953,0,0,0
1953,1,0,0
1953,4,0,0
1953,2,0,0
1953,4,3,0
1953,2,0,0
1953,2,3,6
1953,4,24,2
1953,4,2,0
1953,4,17,2
1953,3,0,0
1953,4,0,0
1953,4,5,0
1953,2,0,0
1953,2,27,4
1953,4,159,13
1953,1,0,0
1953,5,597,114
1953,1,0,0
1953,2,0,0
1953,1,0,0
1953,2,1,0
1953,2,3,0
1953,3,8,1
1953,1,0,0
1953,0,0,0
1953,2,0,0
1953,2,2,0
1953,1,0,0
1953,3,17,0
1953,0,0,0
1953,2,0,0
1953,2,0,0
1953,2,1,0
1953,1,0,0
1953,0,0,0
1953,1,0,0
1953,2,0,0
1953,0,0,0
1953,3,0,0
1953,3,0,1
1953,3,7,0
1953,4,68,2
1953,1,0,0
1953,1,0,0
1953,3,0,0
1953,1,0,0
1953,1,0,0
1953,1,0,0
1953,2,0,0
1953,1,0,0
1953,2,0,0
1953,0,0,0
1953,1,0,0
1953,1,0,0
1953,2,0,0
1953,2,2,0
1953,5,20,2
1953,2,0,0
1953,1,0,0
1953,2,0,0
1953,1,0,0
1953,2,0,0
1953,0,0,0
1953,2,0,0
1953,2,0,0
1953,1,0,0
1953,1,0,0
1953,1,0,0
1953,2,0,0
1953,2,0,0
1953,2,0,0
1953,1,0,0
1953,0,0,0
1953,0,0,0
1953,0,0,0
1953,0,0,0
1953,1,0,0
1953,0,0,0
1953,0,0,0
1953,0,0,0
1953,2,0,0
1953,3,0,0
1953,1,0,0
1953,3,0,0
1953,2,0,0
1953,1,1,0
1953,0,0,0
1953,1,0,0
1953,2,0,0
1953,0,0,0
1953,1,0,0
1953,1,0,0
1953,2,0,0
1953,2,0,0
1953,0,0,0
1953,1,2,0
1953,4,0,11
1953,0,0,0
1953,0,0,0
1953,0,0,0
1953,2,1,0
1953,2,2,0
1953,3,1,0
1953,0,0,0
1953,1,0,0
1953,2,0,0
1953,2,6,0
1953,1,0,0
1953,0,1,0
1953,0,0,0
1953,2,0,0
1953,2,1,0
1953,0,0,0
1953,1,0,0
1953,0,5,0
1953,2,0,0
1953,2,0,0
1953,3,0,0
1953,2,0,0
1953,2,0,0
1953,1,0,0
1953,0,0,0
1953,0,0,0
1953,0,0,0
1953,1,0,0
1953,4,18,4
1953,4,0,0
1953,4,379,17
1953,3,5,1
1953,3,11,0
1953,2,13,4
1953,3,0,0
1953,5,844,116
1953,0,0,0
1953,4,23,0
1953,4,1228,94
1953,3,5,0
1953,3,17,0
1953,1,0,0
1953,1,0,0
1953,1,0,0
1953,2,0,0
1953,2,0,0
1953,1,0,0
1953,2,0,0
1953,0,0,0
1953,1,0,0
1953,2,0,0
1953,2,0,0
1953,2,0,0
1953,1,0,0
1953,1,0,0
1953,1,0,0
1953,2,0,0
1953,2,0,0
1953,1,0,0
1953,1,0,0
1953,1,1,0
1953,1,1,0
1953,1,0,0
1953,2,1,0
1953,0,0,0
1953,1,0,0
1953,1,0,0
1953,2,3,0
1953,1,0,0
1953,0,0,0
1953,1,0,0
1953,2,0,0
1953,0,0,0
1953,1,0,0
1953,0,0,0
1953,1,0,0
1953,2,0,0
1953,5,2,1
1953,1,0,0
1953,1,2,0
1953,2,1,0
1953,1,0,0
1953,0,0,0
1953,0,0,0
1953,1,0,0
1953,1,0,0
1953,0,0,0
1953,0,0,0
1953,0,0,0
1953,0,0,0
1953,1,0,0
1953,1,0,0
1953,0,1,0
1953,1,0,0
1953,1,1,0
1953,0,0,0
1953,1,0,0
1953,0,0,0
1953,1,0,0
1953,0,0,0
1953,2,0,0
1953,1,0,0
1953,2,2,0
1953,1,0,0
1953,1,0,0
1953,1,0,0
1953,1,1,0
1953,1,0,0
1953,2,1,0
1953,1,0,0
1953,1,0,0
1953,0,0,0
1953,1,0,0
1953,1,0,0
1953,1,0,0
1953,1,0,0
1953,2,0,0
1953,1,0,0
1953,0,0,0
1953,0,0,0
1953,1,0,0
1953,0,0,0
1953,1,0,0
1953,1,0,0
1953,1,0,0
1953,1,0,0
1953,1,0,0
1953,1,0,0
1953,0,0,0
1953,2,0,0
1953,1,0,0
1953,1,0,0
1953,0,0,0
1953,1,0,0
1953,0,0,0
1953,0,0,0
1953,0,0,0
1953,0,0,0
1953,2,0,0
1953,1,0,0
1953,0,0,0
1953,1,0,0
1953,1,0,0
1953,0,0,0
1953,2,0,0
1953,3,0,0
1953,1,0,0
1953,2,0,0
1953,1,0,0
1953,0,0,0
1953,1,0,0
1953,0,0,0
1953,0,0,0
1953,1,0,0
1953,1,0,0
1953,2,0,0
1953,1,0,0
1953,2,2,0
1953,2,22,0
1953,2,2,0
1953,2,0,0
1953,3,10,0
1953,3,4,0
1953,2,0,0
1953,2,5,2
1953,1,0,0
1953,2,0,0
1953,1,2,0
1953,1,1,0
1953,4,50,9
1953,2,3,0
1953,3,20,0
1953,2,0,0
1953,2,16,0
1953,2,11,0
1953,2,11,0
1953,5,270,38
1953,2,0,0
1953,2,11,0
1953,1,0,0
1953,2,1,0
1953,2,0,0
1953,1,0,0
1953,2,0,0
1954,2,2,0
1954,1,0,0
1954,1,0,0
1954,3,24,0
1954,2,0,0
1954,3,4,1
1954,1,0,0
1954,2,2,0
1954,1,0,0
1954,2,7,0
1954,2,1,0
1954,2,0,0
1954,2,4,1
1954,2,10,0
1954,2,10,0
1954,1,0,0
1954,1,0,0
1954,2,0,0
1954,1,0,0
1954,0,0,0
1954,0,0,0
1954,2,0,0
1954,1,0,0
1954,1,3,0
1954,1,0,0
1954,3,20,2
1954,3,0,0
1954,3,20,2
1954,3,75,5
1954,1,0,0
1954,1,5,1
1954,0,0,0
1954,1,0,0
1954,0,0,0
1954,1,0,0
1954,1,0,0
1954,1,0,0
1954,1,0,0
1954,2,0,0
1954,1,0,0
1954,2,0,0
1954,1,0,0
1954,1,0,0
1954,1,0,0
1954,2,0,0
1954,1,0,0
1954,2,0,0
1954,1,0,0
1954,1,0,0
1954,1,0,0
1954,2,0,0
1954,2,0,0
1954,2,0,0
1954,2,0,0
1954,1,0,0
1954,2,0,0
1954,1,4,0
1954,1,0,0
1954,1,0,0
1954,1,0,0
1954,1,0,0
1954,1,0,0
1954,1,0,0
1954,2,0,0
1954,3,4,0
1954,1,0,0
1954,1,0,0
1954,2,1,0
1954,3,2,0
1954,1,0,0
1954,1,0,0
1954,4,0,2
1954,1,0,0
1954,2,0,0
1954,1,0,0
1954,3,0,0
1954,1,0,0
1954,2,2,0
1954,2,0,0
1954,1,0,0
1954,1,0,0
1954,1,0,0
1954,2,25,0
1954,0,0,0
1954,1,0,0
1954,1,0,0
1954,4,2,0
1954,4,0,0
1954,2,1,0
1954,4,2,0
1954,3,0,0
1954,2,0,0
1954,1,0,0
1954,2,0,0
1954,1,0,0
1954,1,0,0
1954,1,0,0
1954,2,0,0
1954,1,0,0
1954,2,4,0
1954,2,0,0
1954,1,0,0
1954,3,13,1
1954,1,0,0
1954,1,0,0
1954,0,0,0
1954,2,2,0
1954,1,0,0
1954,0,0,0
1954,0,0,0
1954,2,0,0
1954,1,0,0
1954,2,0,0
1954,0,0,0
1954,1,0,0
1954,2,0,0
1954,1,0,0
1954,2,0,0
1954,1,0,0
1954,2,0,0
1954,1,0,0
1954,2,1,0
1954,2,3,0
1954,1,0,0
1954,1,0,0
1954,1,0,0
1954,2,0,0
1954,1,0,0
1954,3,0,0
1954,2,0,0
1954,0,0,0
1954,0,0,0
1954,0,0,0
1954,0,0,0
1954,2,0,0
1954,1,0,0
1954,2,0,0
1954,2,0,0
1954,1,0,0
1954,1,0,0
1954,1,0,0
1954,2,0,0
1954,2,0,0
1954,0,0,0
1954,1,0,0
1954,1,0,0
1954,1,0,0
1954,1,0,0
1954,2,1,0
1954,0,0,0
1954,2,0,0
1954,1,0,0
1954,1,0,0
1954,0,0,0
1954,1,1,0
1954,1,0,0
1954,1,0,0
1954,2,4,0
1954,2,2,0
1954,1,1,0
1954,2,0,0
1954,1,0,0
1954,1,0,0
1954,1,0,0
1954,2,2,0
1954,0,0,0
1954,2,0,0
1954,1,0,0
1954,0,0,0
1954,1,0,0
1954,1,0,0
1954,1,0,0
1954,3,0,0
1954,3,6,0
1954,2,2,0
1954,2,0,0
1954,2,25,0
1954,3,12,0
1954,3,1,0
1954,3,1,0
1954,3,2,0
1954,3,0,0
1954,1,0,0
1954,3,0,0
1954,3,0,0
1954,3,2,0
1954,1,0,0
1954,3,1,0
1954,1,0,0
1954,1,0,0
1954,1,0,0
1954,2,6,1
1954,0,0,0
1954,2,0,0
1954,1,0,0
1954,2,0,0
1954,2,1,0
1954,2,0,0
1954,2,0,0
1954,2,1,0
1954,2,0,0
1954,4,0,0
1954,2,0,0
1954,2,0,0
1954,1,0,0
1954,4,2,0
1954,4,2,0
1954,4,0,0
1954,2,0,0
1954,3,3,3
1954,2,0,0
1954,2,7,0
1954,3,0,0
1954,3,0,0
1954,1,0,0
1954,4,65,0
1954,2,6,0
1954,2,0,0
1954,2,0,0
1954,2,0,0
1954,2,0,0
1954,1,4,0
1954,2,0,0
1954,2,6,0
1954,1,0,0
1954,2,0,0
1954,1,0,0
1954,1,0,0
1954,1,0,0
1954,2,0,0
1954,1,0,0
1954,1,0,0
1954,1,0,0
1954,3,0,0
1954,1,0,0
1954,1,0,0
1954,3,4,0
1954,0,0,0
1954,0,0,0
1954,0,0,0
1954,0,0,0
1954,2,0,0
1954,0,0,0
1954,0,0,0
1954,0,0,0
1954,1,0,0
1954,1,0,0
1954,0,0,0
1954,3,2,0
1954,2,0,0
1954,1,0,0
1954,1,0,0
1954,1,0,0
1954,1,0,0
1954,0,0,0
1954,1,0,0
1954,0,0,0
1954,0,0,0
1954,0,0,0
1954,3,0,0
1954,1,0,0
1954,1,0,0
1954,1,0,0
1954,1,0,0
1954,0,0,0
1954,1,0,0
1954,2,0,0
1954,2,0,0
1954,1,0,0
1954,2,0,0
1954,1,0,0
1954,2,0,0
1954,0,0,0
1954,0,0,0
1954,0,0,0
1954,2,0,0
1954,0,0,0
1954,1,0,0
1954,2,1,0
1954,2,1,0
1954,2,0,0
1954,1,0,0
1954,2,0,0
1954,2,0,0
1954,1,0,0
1954,2,0,0
1954,0,0,0
1954,2,0,0
1954,2,2,0
1954,1,0,0
1954,1,0,0
1954,1,9,0
1954,2,2,0
1954,1,0,0
1954,4,23,6
1954,1,0,0
1954,2,0,0
1954,0,0,0
1954,2,2,0
1954,2,0,0
1954,2,0,0
1954,2,0,0
1954,1,1,0
1954,2,0,0
1954,2,0,0
1954,1,0,0
